,cos_-0.9988,cos_-0.9963,cos_-0.9937,cos_-0.9912,cos_-0.9855,cos_-0.9765,cos_-0.9675,cos_-0.9585,cos_-0.9495,cos_-0.9405,cos_-0.9315,cos_-0.9225,cos_-0.9135,cos_-0.9045,cos_-0.8775,cos_-0.8325,cos_-0.7875,cos_-0.7425,cos_-0.6975,cos_-0.6525,cos_-0.6075,cos_-0.5625,cos_-0.5175,cos_-0.4725,cos_-0.4275,cos_-0.3825,cos_-0.3375,cos_-0.2925,cos_-0.2475,cos_-0.2025,cos_-0.1575,cos_-0.1125,cos_-0.0675,cos_-0.0225
logE_3.05,1777429021062.8667,1777429021062.8667,1812439524880.5288,1847450028698.188,6782776431173.098,3133783720354.77,3154132784612.5693,7820248416887.945,22232764750538.883,8819314770082.494,11266131277375.734,16287129996586.578,14031582914008.807,11390830592881.293,52902210571505.58,59575541302920.37,36029858322359.37,41642171887644.32,67951310739322.31,56657547570740.21,51486741459931.164,55053466081155.49,72977121918888.31,51726525748504.734,81870290157669.72,53945750654906.54,54572378601647.1,61622783821853.266,52357985135826.59,66342728133731.336,53564102766173.25,67458974569236.49,67835251524180.2,78740176204151.84
logE_3.15,13363063991285.648,13363063991285.648,19990278089887.367,2202921234502.8794,3362607258694.058,17021336922991.375,9611823519484.945,28608178169527.145,14921947323228.572,20906443120664.04,9786110185774.205,21042223801003.64,12948640235836.762,30147117083540.973,121038959230380.44,117827790147139.83,107873322909508.25,111479746299856.05,116039638591177.3,134037265288055.86,166893950552726.22,146546674247225.0,166202673661669.9,149851145637216.38,107595728337295.64,157249613942607.2,100683428743697.98,123397115541737.02,86932424834727.69,152672556769071.7,115094104162335.14,113881938439468.92,127082063614270.02,120132149544458.92
logE_3.25,18321484862907.2,12814537937239.316,7307591011570.946,5805541204495.529,20402625132083.957,24195605638168.016,14466340916684.973,29303400939629.375,66666695480224.62,35342170935059.04,70567187769952.27,26960716780120.34,18465821780467.64,62382396574553.25,209275212546981.8,324932876266048.3,186783117673135.66,304226764784936.0,173562650179243.0,219561251715060.9,219566332382662.47,251060512264147.53,266478003422178.06,164926338371845.84,256886455957755.16,308622467756163.7,292816956660216.44,207641606794944.28,239885889959219.5,211800857144074.66,222354826982214.47,214491002694515.88,191240976398644.6,227141035759812.94
logE_3.35,9057394387764.35,8044046456817.53,8407225287531.148,11109228994525.082,63409529824666.49,25021206897298.105,27682287044641.523,74653547607166.14,58584125541244.74,58543600931139.93,32830411144453.98,92092007122954.94,77525666662711.16,126170991149320.98,427253323847910.0,529312296210917.56,573527652929690.6,500575388798784.7,551608325007266.25,524005872107944.6,589892119546967.5,448461113190574.5,428188715473049.7,403300244444117.44,436326531216835.0,512030274028218.6,475856738725666.2,433346165121196.6,436277561390742.25,467287254351849.5,377962736545046.06,363476799777843.5,358558743657279.75,306147300918734.0
logE_3.45,47149774053057.766,49005080326803.54,104682944856809.23,127094310739389.62,178640452269324.94,144491898951179.25,145238025998436.5,128532997728967.77,73036541353505.92,188945886886404.66,86163319605939.31,233219532825037.2,138041915053641.12,202539654772475.66,698112666981178.0,937151746759712.9,1009546727125239.1,795387298862848.4,582272072273656.9,737664330893155.0,996600440229906.8,970042115720635.9,1083222129701458.0,749290034286377.1,621922664732489.8,1079004214961508.0,474704274590553.7,647317070135637.8,594508141520338.2,777517055899320.4,764007539031638.6,756699981556801.1,702445768726514.0,757129412228033.0
logE_3.55,55197562143569.38,30533853797494.97,76910286073995.1,123286718350491.11,168183691437934.9,321024422423093.4,38640792137674.99,217816609359054.75,222168673423920.88,127635411491061.17,292255647259668.8,211230127283042.9,229986253810304.9,232048657144947.56,1919518342217231.8,1489471226301479.8,1514030675652564.8,1473979965686286.5,1384726647181678.5,1688762505362040.5,1329413449383091.2,2262015049858247.0,2013222197033460.8,1285379929564201.0,1460301518505156.0,1302438240104771.2,1247849641946673.8,1186925451697175.5,1442054114024739.8,1548439443060622.2,1131297573544770.2,956583113380611.6,1106822165832048.8,1126991944295250.0
logE_3.65,27722000144801.93,100729665127557.19,173737330110318.9,246744995093074.12,176630419588011.72,756957351866333.9,277197986986584.4,557576169503056.8,661429133380934.5,506428711785573.25,471120647058905.7,289854295043777.7,678824234639529.4,476906458452527.75,3387462137488837.5,2703712310844909.5,3542113194624316.0,2679029068440355.0,2957633668002817.5,3331981460699779.0,2460713954854459.0,3051036172347560.0,2925786596329174.0,2385221955212140.0,3369726197892152.0,3358710575943844.0,2372318978025851.0,2109048856761746.2,2700333692958083.0,1932010179044648.2,2107874954547167.0,1271687658179852.8,1538866399429635.2,1582031294550736.8
logE_3.75,166200963018877.53,62106318404054.63,120071017547166.05,59034110029896.69,937733123618533.4,642094159084489.9,545995114723859.1,1009348164045297.2,886338824237963.5,1512886355917651.8,1759643417302737.8,679368158734859.9,952467415788463.8,1700350063368149.5,3908101683594128.5,6623949959798517.0,5311776163499458.0,4883338548914001.0,6527196079895869.0,5438814595971788.0,4798622940084394.0,4711219560165719.0,4117415552060738.0,5062383442657620.0,3688418368410176.5,4268091567934787.0,5504084601216448.0,3011267799245060.0,3610399045416411.0,3949417724654348.0,3005198310991047.5,2988493233958536.5,3375995670974380.5,2728983762353920.5
logE_3.85,582441733419963.2,272015209932981.2,100683380003673.4,278642885486234.12,687949748096126.9,1549533075347422.2,1543895333451025.0,1775539482825469.2,1451455680408704.8,1927653782171088.2,179105730546167.88,2552169798191345.0,2133711780257169.8,602926731838920.4,7600034375876230.0,8448130977682123.0,1.0054171648423912e+16,6775206170315178.0,1.0022118890816518e+16,1.1019920203795534e+16,8780863764074296.0,9349867523070158.0,8644919933151964.0,7015692488255583.0,6465964391609629.0,8544985071913979.0,7290022037047280.0,8981417145349869.0,8119858721951586.0,7593859912177031.0,7148927763517842.0,3595593802686346.5,3321630699414681.5,3396669953497445.0
logE_3.95,1045034999738210.2,459884474461499.5,1068704096111705.4,725054079365704.8,2015079184952875.0,3456540567591519.0,3325191148272635.0,1993520902389274.2,3845806244657157.5,1520261396305093.5,1304075804716058.8,3679793098512337.0,2454669303546541.5,2655631910720887.0,1.7357717603213408e+16,1.7160255778532754e+16,2.320886659224374e+16,1.530422362124107e+16,1.552535899708626e+16,1.852396640655774e+16,1.7332493563627944e+16,1.6202931356443714e+16,1.4059939304849402e+16,1.2870800432833142e+16,1.5329648073547854e+16,1.0313290601542156e+16,1.1884723674351238e+16,1.3307743107392614e+16,1.1357969323065064e+16,8235040891734540.0,1.1947403098241072e+16,8497430286206877.0,8723656831935216.0,7368927476461827.0
logE_4.05,1783890087580171.2,754466819705096.8,866268431817276.6,1488905684855757.8,2034979236456181.8,6805182618637947.0,4016900201851575.5,4454365555051694.5,3393515960908015.0,3767925172627094.0,4755877599111633.0,3325532913862166.5,4863510455121025.0,4792633113755216.0,2.8123832478255532e+16,2.340988502265577e+16,2.1349053361281732e+16,2.569558955718902e+16,2.4805005520633024e+16,2.618052516328589e+16,2.631136544182487e+16,2.2299048396178736e+16,2.4986992739418784e+16,2.4471054618624576e+16,1.936793662715482e+16,2.3098116908532492e+16,2.1411109507011536e+16,1.8462206289016668e+16,2.0317163763321988e+16,1.2707765676045928e+16,1.6073095585669244e+16,1.5595401485809524e+16,1.8428858060508004e+16,1.1164149632743138e+16
logE_4.15,2065628863296171.0,2492415695307748.5,1449129709872362.0,2378037242939305.5,7742986426616581.0,6442984836304138.0,7254087810977961.0,5366208634784633.0,9209497762244512.0,5899430271140449.0,5189289430978291.0,5235658201865846.0,6291519286318585.0,1.3027417778898626e+16,6.1246961001488264e+16,3.8355198528942904e+16,6.086479098827667e+16,6.215238655041809e+16,4.191150679233224e+16,3.928956481506014e+16,4.816882949968315e+16,4.390291472597735e+16,4.97144089094042e+16,3.3616503617944772e+16,3.7445112249588136e+16,2.7382799589736844e+16,2.5933744121990336e+16,3.586444481749348e+16,2.089812746725492e+16,2.1274684431519636e+16,3.4963205032343236e+16,2.5538884354844364e+16,1.615123794472452e+16,1.7515781782335776e+16
logE_4.25,6267984053464069.0,1628173649888841.0,2051740610909045.5,2475307571929212.0,1.4705321644418926e+16,9028419289818254.0,1.033011611955629e+16,3590551332361869.0,2.1103555213964396e+16,1.1595335253538414e+16,1.4447182024856824e+16,8604772937463073.0,9044516346847464.0,1.1226753886383338e+16,7.281857549321237e+16,8.776619893309197e+16,5.981718114854951e+16,5.955482948931301e+16,6.976856763875005e+16,7.641879097706309e+16,7.614214066610744e+16,5.891657915473764e+16,5.542794627335739e+16,5.705871259140039e+16,5.483990084708357e+16,6.398613911971222e+16,6.890416311360426e+16,4.878496008236154e+16,4.857636783355871e+16,3.44064091296563e+16,3.0978969200161092e+16,4.396861449498132e+16,3.784312794737048e+16,3.2961329642480708e+16
logE_4.35,9678734771133724.0,7632599171663130.0,2903128774631139.0,5300924988227363.0,1.9367822627709428e+16,1.9957346333469156e+16,1.7269274899770258e+16,1.0016541283046102e+16,2.6002005611077916e+16,1.9881401049777356e+16,3.060425222372741e+16,1.9732022391199256e+16,2.8053136429468732e+16,3.1164874870106416e+16,1.0517628348743189e+17,1.3032494007766238e+17,1.0211990633749437e+17,1.1201501577134422e+17,1.1556836603554008e+17,1.0871789904972515e+17,1.2061380683128602e+17,8.850439532715986e+16,1.0097668769207494e+17,1.1628596515142277e+17,8.647574064405638e+16,6.440393682671444e+16,8.716682372949027e+16,7.76991679068169e+16,7.553637255375808e+16,8.096227873992646e+16,6.078310916997656e+16,6.574390802309142e+16,4.630564243085695e+16,4.9130040759180456e+16
